id,device_identifier,ts_generation,co2,humidity,pressure,temperature,battery
137833,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692192516566,423,31.0,1011.3,38.1,
137853,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692193116510,432,34.0,1011.1,38.0,
137872,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692193716518,405,33.0,1011.0,38.4,
137890,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692194316482,426,31.0,1010.8,38.4,
137908,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692194916455,439,30.5,1010.8,38.7,
137926,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692195516448,431,31.0,1010.9,39.1,
137944,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692196116422,416,30.5,1010.8,39.1,
137962,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692196716375,441,31.5,1010.7,38.9,
137981,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692197316395,418,31.5,1010.4,38.7,
137999,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692197916353,418,31.5,1010.3,38.8,
138018,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692198516305,423,30.5,1010.1,38.8,
138036,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692199116316,413,30.0,1010.1,38.7,
138055,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692199716283,419,31.5,1010.1,38.0,
138073,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692200316259,433,33.0,1010.1,37.6,
138092,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692200916235,453,33.5,1010.0,37.4,
138110,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692201516227,406,33.0,1009.9,36.4,
138130,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692202116167,429,34.5,1009.9,35.2,
138147,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692202716179,422,36.0,1009.9,35.5,
138166,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692203316142,417,35.5,1009.8,35.6,
138184,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692203916094,442,35.5,1009.8,35.4,
138203,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692204516074,405,36.0,1009.9,34.9,
138221,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692205116072,432,37.0,1009.9,35.1,
138240,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692205717723,423,37.5,1010.1,34.8,
138258,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692206316007,433,38.0,1010.2,33.7,
138276,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692206915979,437,39.0,1010.2,32.6,
138293,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692207515929,437,41.0,1010.5,31.7,
138312,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692208115917,440,43.5,1010.7,31.1,
138330,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692208715895,429,44.5,1010.7,30.8,
