id,ts_generation,device_identifier,line,electrical_conductivity,humidity,temperature,battery
189287,1693930925819,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,206,23.56,22,NULL
189304,1693931527203,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,206,23.56,22,NULL
189321,1693932128557,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,206,23.56,22,NULL
189339,1693932729949,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.56,22,NULL
189357,1693933331343,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.56,22,NULL
189377,1693933932679,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.56,22,NULL
189395,1693934534051,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189413,1693935135408,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189432,1693935736763,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189449,1693936338148,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,99
189467,1693936939497,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189487,1693937540860,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189506,1693938142220,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189526,1693938743580,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189545,1693939344977,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,205,23.5,22,NULL
189578,1693940547684,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,204,23.5,22,NULL
189597,1693941149042,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,204,23.5,21.9,NULL
189615,1693941750405,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,204,23.5,21.9,NULL
189634,1693942351796,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,204,23.5,21.9,NULL
189652,1693942953144,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,204,23.5,21.9,NULL
189669,1693943554512,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,204,23.5,21.9,NULL
189688,1693944155877,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,204,23.5,21.9,NULL
189708,1693944757254,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.5,21.9,NULL
189724,1693945358604,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.5,21.9,NULL
189743,1693945959968,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.5,21.8,NULL
189761,1693946561328,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.5,21.8,NULL
189779,1693947162708,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.8,NULL
189797,1693947764060,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.5,21.8,NULL
189816,1693948365435,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.8,NULL
189832,1693948966800,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.5,21.7,NULL
189851,1693949568178,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.7,NULL
189868,1693950169524,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.5,21.7,NULL
189886,1693950770900,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.7,NULL
189904,1693951372265,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.7,NULL
189920,1693951973617,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.6,NULL
189936,1693952574985,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.6,NULL
189955,1693953176366,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.6,NULL
189973,1693953777732,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.6,NULL
189991,1693954379093,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.5,NULL
190007,1693954980459,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.5,NULL
190026,1693955581843,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.5,NULL
190044,1693956183217,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.5,NULL
190062,1693956784574,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,203,23.41,21.4,NULL
190081,1693957385941,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.4,NULL
190100,1693957987317,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.4,NULL
190118,1693958588702,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.4,NULL
190138,1693959190039,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.41,21.3,NULL
190156,1693959791427,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.35,21.3,NULL
190174,1693960392778,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.41,21.3,NULL
190190,1693960994161,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,201,23.41,21.2,NULL
190205,1693961595520,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.35,21.2,NULL
190221,1693962196881,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.35,21.2,NULL
190240,1693962798243,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,202,23.35,21.2,NULL
