id,ts_generation,device_identifier,line,current_volume
32199,1688041173447,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32206,1688041773832,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32217,1688042973468,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32226,1688043574336,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32239,1688044174502,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32251,1688044773745,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32261,1688045373113,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32271,1688045972496,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32281,1688046573083,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,0
32293,1688047172392,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,30
32303,1688047772995,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32313,1688048372826,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32323,1688048972812,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32333,1688049573754,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32342,1688050174313,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32352,1688050774108,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32362,1688051375014,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32372,1688051974832,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32383,1688052574416,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,31
32393,1688053174361,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,93
32404,1688053774557,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,130
32416,1688054374633,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32426,1688054975107,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32436,1688055575097,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32445,1688056174435,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32454,1688056774616,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32463,1688057375372,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32472,1688057976366,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32481,1688058576666,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32490,1688059176892,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32499,1688059776581,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32507,1688060376310,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32516,1688060976379,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32525,1688061576710,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32533,1688062177712,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32542,1688062777188,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32551,1688063378121,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32560,1688063978089,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32570,1688064577156,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32579,1688065177242,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32588,1688065777130,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32597,1688066377089,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32606,1688066976586,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32615,1688067577395,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32624,1688068178024,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32634,1688068778408,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
32643,1688069379304,b11e71f8660d9d4afc220110d60e8856c38b6af3613b3e6f24c7a9db0f09c0d8,1,154
